datetime,/delta/m5/c12
2016-12-01 04:06:45+00:00,0.4987265625
2016-12-01 04:07:45+00:00,0.49859765625
2016-12-01 04:08:45+00:00,0.4985859375
2016-12-01 04:09:44+00:00,0.4985390625
2016-12-01 04:10:44+00:00,0.49850390625
2016-12-01 04:11:44+00:00,0.498703125
2016-12-01 04:12:44+00:00,0.49864453125
2016-12-01 04:13:44+00:00,0.49879687500000003
2016-12-01 04:14:44+00:00,0.49893750000000003
2016-12-01 04:15:44+00:00,0.4990546875
2016-12-01 04:16:44+00:00,0.4992421875
2016-12-01 04:17:44+00:00,0.499359375
2016-12-01 04:18:44+00:00,0.499359375
2016-12-01 04:19:44+00:00,0.49934765625
2016-12-01 04:20:44+00:00,0.49920703125
2016-12-01 04:21:43+00:00,0.499078125
2016-12-01 04:22:43+00:00,0.49899609375000004
2016-12-01 04:23:43+00:00,0.49885546875000003
2016-12-01 04:24:43+00:00,0.49892578125000003
2016-12-01 04:25:43+00:00,0.4986796875
2016-12-01 04:26:43+00:00,0.49857421875
2016-12-01 04:27:43+00:00,0.4985390625
2016-12-01 04:28:43+00:00,0.49819921875
2016-12-01 04:29:43+00:00,0.49831640625
2016-12-01 04:30:42+00:00,0.49836328125
2016-12-01 04:31:43+00:00,0.49876171875
2016-12-01 04:32:42+00:00,0.4987734375
2016-12-01 04:33:42+00:00,0.49801171875
2016-12-01 04:34:42+00:00,0.496921875
2016-12-01 04:35:42+00:00,0.49593750000000003
2016-12-01 04:36:42+00:00,0.49550390625
2016-12-01 04:37:42+00:00,0.4951171875
2016-12-01 04:38:42+00:00,0.49490625
2016-12-01 04:39:42+00:00,0.49449609375000003
2016-12-01 04:40:42+00:00,0.49412109375
2016-12-01 04:41:42+00:00,0.4938046875
2016-12-01 04:42:42+00:00,0.493734375
2016-12-01 04:43:42+00:00,0.4933359375
2016-12-01 04:44:41+00:00,0.49305468750000003
2016-12-01 04:45:41+00:00,0.4925390625
2016-12-01 04:46:41+00:00,0.4925390625
2016-12-01 04:47:41+00:00,0.49226953125
2016-12-01 04:48:41+00:00,0.49208203125
2016-12-01 04:49:41+00:00,0.49182421875
2016-12-01 04:50:40+00:00,0.49123828125
2016-12-01 04:51:40+00:00,0.490875
2016-12-01 04:52:40+00:00,0.4906640625
2016-12-01 04:53:40+00:00,0.490546875
2016-12-01 04:54:40+00:00,0.49003125000000003
